Sleep Score 1 Day,
Date,8/8/25
Sleep Duration,8h 52m
Sleep Score,82
Quality,Good
,
Sleep Score Factors,
Sleep Duration,8h 52m
Stress Avg,17.04000092
Deep Sleep Duration,52m
Light Sleep Duration,6h 39m
REM Duration,1h 09m
Awake Time,12m
,
Sleep Timeline Metrics,
Restless Moments,43
Avg Overnight Heart Rate,47
Resting Heart Rate,47
Body Battery Change,74
Avg Respiration,16.15
Avg Overnight HRV,
7d Avg HRV,
