Sleep Score 1 Day,
Date,10/24/25
Sleep Duration,5h 23m
Sleep Score,66
Quality,Good
,
Sleep Score Factors,
Sleep Duration,5h 23m
Stress Avg,17.45999908
Deep Sleep Duration,1h 02m
Light Sleep Duration,3h 23m
REM Duration,50m
Awake Time,8m
,
Sleep Timeline Metrics,
Restless Moments,29
Avg Overnight Heart Rate,53
Resting Heart Rate,53
Body Battery Change,50
Avg Respiration,16.5
Avg Overnight HRV,60.0
7d Avg HRV,63.8
