Sleep Score 1 Day,
Date,12/2/25
Sleep Duration,5h 28m
Sleep Score,69
Quality,Good
,
Sleep Score Factors,
Sleep Duration,5h 28m
Stress Avg,8.93000031
Deep Sleep Duration,1h 33m
Light Sleep Duration,3h 03m
REM Duration,47m
Awake Time,5m
,
Sleep Timeline Metrics,
Restless Moments,27
Avg Overnight Heart Rate,49
Resting Heart Rate,49
Body Battery Change,78
Avg Respiration,16.06
Avg Overnight HRV,77.0
7d Avg HRV,71.6
